报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1947115,1893855,1929553,2077893,1990708,1774325,1450238,1325998,1098624,1044738,918619,745267,
营业收入(万元),1947115,1893855,1929553,2077893,1990708,1774325,1450238,1325998,1098624,1044738,918619,745267,
利息收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,
营业总成本(万元),1721591,1687024,1774918,1915344,1842380,1668078,1356915,1249114,1037316,976337,844406,681076,
营业成本(万元),1522693,1478097,1511788,1624213,1567077,1429520,1165469,1070028,888816,848910,727725,590863,
利息支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,0,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,0,--,--,--,
营业税金及附加(万元),11828,14829,15130,15454,13770,15109,9476,4705,3643,3005,2913,2441,
销售费用(万元),70652,68978,77214,98382,93823,85863,64844,57244,52056,45080,49205,35193,
管理费用(万元),129781,134847,178246,187678,183973,148234,121784,107706,89971,75914,63891,46379,
财务费用(万元),-21853,-28350,-31808,-22786,-25883,-15952,-13985,-8760,-8639,-8103,-3669,-2407,
资产减值损失(万元),8489,18623,24348,12404,9621,5303,9327,18191,11469,11530,4341,8607,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,
投资收益(万元),33516,56483,115121,31631,24326,43706,34545,35849,25151,41210,25143,12857,
对联营企业和合营企业的投资收益(万元),28014,27567,21672,30834,36788,28063,34256,36653,24704,23614,25041,8774,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),262584,263314,269756,194181,172653,149954,127868,112733,86458,109612,99356,77047,
营业外收入(万元),7578,13965,52198,20181,36267,19267,8015,12799,8685,5139,4866,3871,
营业外支出(万元),55,1506,2468,1691,762,1307,681,717,893,2708,1003,779,
非流动资产处置损失(万元),--,529,650,1483,543,672,480,515,535,1247,242,48,
利润总额(万元),270108,275773,319486,212671,208157,167914,135202,124815,94250,112042,103219,80139,
所得税费用(万元),33991,34412,39448,32692,24456,36431,17372,16163,13574,15332,13928,12005,
未确认投资损失(万元),--,--,--,--,--,--,--,--,0,--,--,--,
净利润(万元),236117,241361,280038,179979,183701,131482,117830,108652,80676,96711,89291,68134,
归属于母公司所有者的净利润(万元),139033,144909,183457,85788,94383,70349,71148,66572,46574,64660,60558,41799,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,0,--,--,--,
少数股东损益(万元),97084,96452,96580,94191,89318,61134,46682,42080,34102,32050,28733,26335,
基本每股收益,1.36,1.42,1.79,0.84,0.92,0.69,0.7,0.65,0.46,0.63,0.71,0.49,
稀释每股收益,1.36,1.42,1.79,0.84,0.92,0.69,0.7,0.65,0,0.63,0.71,0.49,
