 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),2161547,2170026,2211893,2508046,2436288,2371349,1846568,1617384,1382603,1150087,1106678,878110, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),967,1988,3807,5966,6682,6102,7452,6123,6188,9261,6023,3147, 
 收到的其他与经营活动有关的现金(万元),63287,23473,25915,43741,51743,41080,27647,18724,19311,17519,12721,14344, 
 经营活动现金流入小计(万元),2225801,2195487,2241615,2557753,2494713,2418531,1881668,1642231,1408102,1176867,1125422,895601, 
 购买商品、接受劳务支付的现金(万元),1720368,1673004,1702979,1920243,1861567,1704610,1454860,1220738,988865,929770,843930,665676, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),97098,96409,139479,161617,162180,150015,87058,75720,68573,68103,53769,51476, 
 支付的各项税费(万元),92538,89039,109631,115993,129835,120195,73818,75619,72524,55162,58368,42562, 
 支付的其他与经营活动有关的现金(万元),122785,137078,155649,158704,165242,131705,111695,91407,75281,72183,63567,52136, 
 经营活动现金流出小计(万元),2032789,1995530,2107737,2356557,2318823,2106525,1727430,1463484,1205242,1125217,1019634,811850, 
 经营活动产生的现金流量净额(万元),193012,199957,133877,201196,175889,312006,154238,178746,202860,51650,105788,83751, 
 收回投资所收到的现金(万元),7225,22826,--,13935,997,3458,1711,1991,23992,66,1131,33002, 
 取得投资收益所收到的现金(万元),16677,26286,24653,18997,18563,34222,15004,15990,23016,22997,21202,21872, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),330,560,9673,9499,2341,2223,1560,9169,4338,1732,496,6141, 
 处置子公司及其他营业单位收到的现金净额(万元),--,13471,--,--,--,464,12913,3893,0,386,551,0, 
 收到的其他与投资活动有关的现金(万元),90445,51334,27552,10815,17349,34348,1288,2035,3343,1881,1125,1013, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流入小计(万元),114676,114477,61878,53246,42119,74715,32475,33079,54689,27062,24505,62028, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),17049,50061,38273,47873,33801,50990,18636,29170,20446,34565,20319,15704, 
 投资所支付的现金(万元),2277,4001,--,--,606,62110,17889,107,4860,0,23334,19425, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,6429,241,6191,9784,--,--,22726,0,0,23433, 
 支付的其他与投资活动有关的现金(万元),147,518,23143,4108,5397,5741,--,--,5000,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流出小计(万元),19473,54580,67845,52222,45996,128623,36525,29276,53031,34565,43653,58561, 
 投资活动产生的现金流量净额(万元),95203,59896,-5968,1024,-3877,-53909,-4049,3802,1657,-7503,-19147,3467, 
 吸收投资收到的现金(万元),--,--,--,422,--,--,368,--,625,0,0,975, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,422,--,--,368,--,625,0,0,975, 
 取得借款收到的现金(万元),3450,2950,5247,157562,34048,161775,35915,34108,72950,41050,50172,46028, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,40438,8278,--,--,--,500,0,0,0,0, 
 筹资活动现金流入小计(万元),3450,2950,45684,166263,34048,161775,36283,34608,73575,41050,50172,47003, 
 偿还债务支付的现金(万元),2950,4850,4850,158079,187910,22172,23100,64051,65703,42887,47588,67431, 
 分配股利、利润或偿付利息所支付的现金(万元),124715,114756,122255,115569,81772,78439,53085,41475,42452,34056,32342,32547, 
 其中：子公司支付给少数股东的股利、利润(万元),80576,87976,87041,82190,55685,40935,30832,28950,29831,0,21355,21155, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,161,--,0,0,0,0, 
 筹资活动现金流出小计(万元),127665,119606,127105,273648,269682,100611,76346,105526,108155,76944,79930,99977, 
 筹资活动产生的现金流量净额(万元),-124215,-116656,-81420,-107385,-235634,61164,-40064,-70918,-34580,-35894,-29758,-52975, 
 汇率变动对现金及现金等价物的影响(万元),-2851,1374,41,-1570,-1859,161,-427,-203,-195,-376,-609,-283, 
 现金及现金等价物净增加额(万元),161149,144571,46530,93265,-65481,319422,109697,111428,169742,7877,56274,33960, 
 加:期初现金及现金等价物余额(万元),590527,445956,399426,1063411,1128891,809469,646990,535562,365820,357943,301669,267709, 
 期末现金及现金等价物余额(万元),751676,590527,445956,1156676,1063411,1128891,756688,646990,535562,365820,357943,301669, 
 净利润(万元),236117,241361,280038,179979,183701,131482,117830,108652,80676,96711,89291,68134, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 资产减值准备(万元),8489,18623,24348,12404,9621,5303,9327,18191,11469,11530,4341,8607, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),21629,20313,22285,20671,19084,21166,17971,18380,17383,14970,14910,13310, 
 无形资产摊销(万元),1210,1177,1084,2951,1825,1110,1136,1346,1048,828,918,794, 
 长期待摊费用摊销(万元),383,357,295,395,355,326,242,216,389,326,55,47, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),263,-258,-758,-4359,-1,-1558,-103,-1647,-1515,298,-88,-691, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,470,5,133,179, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 递延收益增加(减：减少)(万元),-1068,-1350,--,--,--,--,--,--,0,0,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 财务费用(万元),-12872,-19975,-26435,2769,3216,5173,928,1265,475,1138,1950,2798, 
 投资损失(万元),-33516,-56483,-115121,-31631,-24326,-43706,-34545,-35849,-25151,-41210,-25143,-12857, 
 递延所得税资产减少(万元),-8181,-2070,468,-183,-2850,-2419,-2121,-2171,-2451,-401,-2323,83, 
 递延所得税负债增加(万元),-1657,-936,1422,-1656,-258,490,-115,-404,-337,-827,646,723, 
