报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),492171,333404,344087,226256,256572,529163,427483,125065,29663,44187,158199,98901,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),--,622,--,--,--,36,3,--,0,--,--,5043,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),118699,153372,77270,53494,124235,67113,55268,19426,20812,4387,11605,4445,
应收账款(万元),578479,541142,530482,766013,805285,726039,536236,545973,205032,163804,264020,195372,
预付款项(万元),19914,18112,29945,43235,76960,112110,322776,268991,376039,499909,439588,316685,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),313,--,--,--,46,--,--,26,0,--,--,0,
应收股利(万元),118615,83261,78980,81524,10368,27,2918,2850,27,27,--,27,
其他应收款(万元),54391,30761,75688,59221,118584,104802,90317,64917,23278,32783,25649,28842,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
存货(万元),222840,246525,181783,238282,249609,334398,372755,317303,112930,114595,203138,139677,
待摊费用(万元),--,--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),500,1256,1219,--,--,--,--,--,0,--,--,0,
其他流动资产(万元),198909,162690,161848,220343,56609,2104,3295,--,0,--,914,400,
流动资产合计(万元),1804831,1571145,1481302,1688368,1698268,1875792,1811051,1344550,767781,859693,1103114,789393,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),182053,212358,210749,192809,72715,--,--,--,0,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,0,--,500,0,
长期应收款(万元),18743,15900,16043,--,--,--,--,--,0,--,40,0,
长期股权投资(万元),1956819,1800045,1602455,1596727,1655883,1576562,1466278,1201988,824301,608346,480363,430094,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),29095,21938,151,164,105,116,995,1554,2060,--,--,0,
固定资产原值(万元),29483583,26993661,23623821,20705732,19028910,16143499,14459272,12502752,7716836,4864907,4351631,3616682,
累计折旧(万元),9642269,8512237,7159719,6258170,5414616,4634413,3932215,3316743,2104293,1756399,1550018,1349187,
固定资产净值(万元),19841314,18481423,16464102,14447562,13614294,11509086,10527056,9186009,5612543,3108509,2801614,2267495,
固定资产减值准备(万元),204300,107642,93506,42980,19390,12304,11499,29574,20685,3980,3980,3980,
固定资产(万元),19637015,18373781,16370596,14404581,13594904,11496782,10515557,9156434,5591858,3104529,2797634,2263515,
