报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),1441392,1393912,1278249,1211801,1118621,1185594,802798,701990,590562,415820,407943,351669,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),62918,40589,35677,30152,24166,21569,24086,23300,18116,11294,16342,3743,
应收账款(万元),250118,205206,197270,222973,188031,202483,128668,113882,99892,78962,72437,58864,
预付款项(万元),189205,268116,267062,202794,207284,173182,75756,50420,33221,25534,24024,17158,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),5182,5860,9436,8264,7408,2187,1656,2185,629,986,287,233,
应收股利(万元),--,--,2476,--,4814,--,1019,1632,943,3855,2775,1379,
其他应收款(万元),17033,20708,23917,18048,27793,17600,18247,18454,13960,36154,8737,8439,
应收出口退税(万元), --,--,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
存货(万元),874574,738799,687232,766113,638646,490355,319239,253030,210510,184255,179057,146295,
待摊费用(万元),--,--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),2855,1782,2382,1382,1243,--,--,--,0,--,--,0,
其他流动资产(万元),7139,4799,12167,3586,4690,292,80717,--,0,--,--,0,
流动资产合计(万元),2850416,2679770,2515870,2465113,2222696,2093263,1452186,1164893,967834,756859,711602,587781,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),14503,21626,19944,16772,10695,6171,6313,5620,6738,3445,6906,3085,
持有至到期投资(万元),--,--,--,--,--,--,--,--,0,--,--,0,
长期应收款(万元),737,637,333,1958,2619,--,--,--,0,--,--,0,
长期股权投资(万元),231143,219189,221037,227623,227012,213173,155959,132324,113149,111051,119171,92565,
其他长期投资(万元),--,--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),5904,6149,6394,6651,6920,7193,7467,7750,8035,--,--,0,
固定资产原值(万元),337222,327798,307787,362228,360538,371863,265163,297688,298124,250058,229345,208441,
累计折旧(万元),179648,163642,153833,197180,202781,205005,139055,148093,144503,114390,107075,96583,
固定资产净值(万元),157575,164156,153954,165049,157757,166859,126108,149594,153621,135668,122269,111858,
固定资产减值准备(万元),1877,1957,1851,859,1150,671,2044,2259,2737,616,509,613,
固定资产(万元),155698,162199,152104,164190,156607,166188,124065,147335,150884,135052,121760,111245,
在建工程(万元),21960,20432,24913,33841,33859,37146,7904,12621,11893,9051,9550,17554,
工程物资(万元),--,--,--,--,--,--,--,--,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),39383,40150,20416,36247,26986,25600,19964,31543,35463,23017,26520,26446,
开发支出(万元),--,--,--,--,--,--,--,--,0,--,--,0,
商誉(万元),1248,1248,3273,1248,1248,1248,1248,1611,7707,363,363,363,
长期待摊费用(万元),2599,2438,2795,3440,3759,3887,4019,4261,824,2793,1071,1126,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),28447,20266,18196,19826,19643,20499,11918,10808,8636,6068,5668,3344,
其他非流动资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
非流动资产合计(万元),501621,494334,469403,511796,489350,481105,338857,353872,343329,290841,291009,255728,
资产总计(万元),3352037,3174104,2985273,2976909,2712046,2574368,1791042,1518765,1311163,1047700,1002611,843509,
短期借款(万元),3450,2950,4992,16295,19053,43338,27465,23108,44050,35050,36872,33478,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,0,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),10532,7918,11792,9265,11065,6218,4444,1733,2189,29,94,242,
应付账款(万元),224932,179288,161181,202484,213032,198732,163710,184551,142562,126864,101638,73950,
预收账款(万元),1640854,1612582,1548092,1481746,1276396,1080132,684923,466363,331278,193604,218637,168555,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),54504,55044,53133,59956,55681,44336,26700,24976,20206,18281,20957,14273,
应交税费(万元),33662,29621,22479,13772,12738,26271,6332,10293,15728,8476,13481,5978,
应付利息(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付股利(万元),87,129,129,69,209,177,106,118,2531,6501,4429,3390,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),95584,78214,79598,92987,84963,77120,58552,52829,49066,35842,35936,26674,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),10,10,10,1130,137383,129572,5000,--,500,500,--,1500,
其他流动负债(万元),8078,9094,11932,19392,16639,25549,26548,4401,4324,1072,779,238,
流动负债合计(万元),2071693,1974851,1893338,1897097,1827160,1631446,1003780,768371,612434,426219,432823,328278,
长期借款(万元),--,--,--,141628,4507,146279,--,5000,16005,508,1024,1033,
应付债券(万元),--,--,--,--,--,--,--,--,0,--,--,0,
长期应付款(万元),89,14,14,14,14,14,14,175,175,175,175,175,
专项应付款(万元),--,--,--,52751,47859,33710,--,--,0,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,0,--,--,0,
长期递延收益(万元),20807,21875,23228,5405,--,--,--,--,0,--,--,--,
递延所得税负债(万元),3846,5503,6438,7847,8713,12852,4096,4026,4734,1022,2713,992,
其他非流动负债(万元),--,165,117,1193,13673,37026,547,1755,1012,301,--,0,
非流动负债合计(万元),37284,40207,43287,218622,78203,229882,4656,10957,21926,2007,3913,2201,
负债合计(万元),2108978,2015058,1936625,2115719,1905362,1861328,1008436,779327,634360,428226,436736,330479,
实收资本(或股本)(万元),102274,102274,102274,102274,102274,102274,102274,102274,102274,102274,85228,85228,
资本公积(万元),203926,204037,204437,164000,166177,159803,147608,147139,147596,142745,162584,160006,
减:库存股(万元),--,--,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),968,972,992,812,610,359,--,--,0,--,--,--,
盈余公积(万元),132065,132065,132065,132065,132065,130630,123460,115777,100351,87031,74715,61767,
一般风险准备(万元),--,--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),557715,470664,360598,224564,175537,111801,220043,183518,146179,125712,84812,51306,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,-1220,5590,--,--,-1393,-1308,-910,-925,
归属于母公司股东权益合计(万元),1003584,921458,811911,626062,575443,510456,593385,548708,495006,456454,406429,357383,
少数股东权益(万元),239475,237588,236737,235129,231240,202584,189222,190730,181797,163020,159447,155647,
所有者权益(或股东权益)合计(万元),1243060,1159046,1048649,861190,806683,713040,782606,739437,676802,619474,565875,513030,
负债和所有者权益(或股东权益)总计(万元),3352037,3174104,2985273,2976909,2712046,2574368,1791042,1518765,1311163,1047700,1002611,843509,		
  
