报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业收入(万元),1947115,1893855,1929553,2077893,1990708,1774325,1450238,1325998,1098624,1044738,918619,745267,
营业成本(万元),1522693,1478097,1511788,1624213,1567077,1429520,1165469,1070028,888816,848910,727725,590863,
营业利润(万元),262584,263314,269756,194181,172653,149954,127868,112733,86458,109612,99356,77047,
利润总额(万元),270108,275773,319486,212671,208157,167914,135202,124815,94250,112042,103219,80139,
所得税费用(万元),33991,34412,39448,32692,24456,36431,17372,16163,13574,15332,13928,12005,
净利润(万元),236117,241361,280038,179979,183701,131482,117830,108652,80676,96711,89291,68134,
基本每股收益,1.36,1.42,1.79,0.84,0.92,0.69,0.7,0.65,0.46,0.63,0.71,0.49,
货币资金(万元),1441392,1393912,1278249,1211801,1118621,1185594,802798,701990,590562,415820,407943,351669,
应收账款(万元),250118,205206,197270,222973,188031,202483,128668,113882,99892,78962,72437,58864,
存货(万元),874574,738799,687232,766113,638646,490355,319239,253030,210510,184255,179057,146295,
流动资产合计(万元),2850416,2679770,2515870,2465113,2222696,2093263,1452186,1164893,967834,756859,711602,587781,
固定资产净额(万元),155698,162199,152104,164190,156607,166188,124065,147335,150884,135052,121760,111245,
资产总计(万元),3352037,3174104,2985273,2976909,2712046,2574368,1791042,1518765,1311163,1047700,1002611,843509,
流动负债合计(万元),2071693,1974851,1893338,1897097,1827160,1631446,1003780,768371,612434,426219,432823,328278,
非流动负债合计(万元),37284,40207,43287,218622,78203,229882,4656,10957,21926,2007,3913,2201,
负债合计(万元),2108978,2015058,1936625,2115719,1905362,1861328,1008436,779327,634360,428226,436736,330479,
所有者权益(或股东权益)合计(万元),1243060,1159046,1048649,861190,806683,713040,782606,739437,676802,619474,565875,513030,
期初现金及现金等价物余额(万元),590527,445956,399426,1063411,1128891,809469,646990,535562,365820,357943,301669,267709,
经营活动产生的现金流量净额(万元),193012,199957,133877,201196,175889,312006,154238,178746,202860,51650,105788,83751,
投资活动产生的现金流量净额(万元),95203,59896,-5968,1024,-3877,-53909,-4049,3802,1657,-7503,-19147,3467,
筹资活动产生的现金流量净额(万元),-124215,-116656,-81420,-107385,-235634,61164,-40064,-70918,-34580,-35894,-29758,-52975,
现金及现金等价物净增加额(万元),161149,144571,46530,93265,-65481,319422,109697,111428,169742,7877,56274,33960,
期末现金及现金等价物余额(万元),751676,590527,445956,1156676,1063411,1128891,756688,646990,535562,365820,357943,301669,		
		
  
